trial_num	condition	sequence_len	trial_dur	go_time	iti_dur	record_dur	record_trial	display_trial_feedback	stim	start_time	end_time
0	simple	7	5	1	0.5	5.5	True	False	airy airy airy airy airy airy airy	0.0	5.5
1	simple	7	5	1	0.5	5.5	True	False	fee fee fee fee fee fee fee	5.5	11.0
2	simple	7	5	1	0.5	5.5	True	False	pie pie pie pie pie pie pie	11.0	16.5
3	simple	7	5	1	0.5	5.5	True	False	thought thought thought thought thought thought thought	16.5	22.0
4	simple	7	5	1	0.5	5.5	True	False	jin jin jin jin jin jin jin	22.0	27.5
5	simple	7	5	1	0.5	5.5	True	False	out out out out out out out	27.5	33.0
6	simple	7	5	1	0.5	5.5	True	False	pro pro pro pro pro pro pro	33.0	38.5
7	simple	7	5	1	0.5	5.5	True	False	a a a a a a a	38.5	44.0
8	simple	7	5	1	0.5	5.5	True	False	peck peck peck peck peck peck peck	44.0	49.5
9	simple	7	5	1	0.5	5.5	True	False	the the the the the the the	49.5	55.0
10	simple	7	5	1	0.5	5.5	True	False	if if if if if if if	55.0	60.5
11	simple	7	5	1	0.5	5.5	True	False	much much much much much much much	60.5	66.0
12	simple	7	5	1	0.5	5.5	True	False	caw caw caw caw caw caw caw	66.0	71.5
13	simple	7	5	1	0.5	5.5	True	False	less less less less less less less	71.5	77.0
14	simple	7	5	1	0.5	5.5	True	False	throne throne throne throne throne throne throne	77.0	82.5
15	simple	7	5	1	0.5	5.5	True	False	per per per per per per per	82.5	88.0
16	simple	7	5	1	0.5	5.5	True	False	leh leh leh leh leh leh leh	88.0	93.5
17	simple	7	5	1	0.5	5.5	True	False	through through through through through through through	93.5	99.0
18	simple	7	5	1	0.5	5.5	True	False	naw naw naw naw naw naw naw	99.0	104.5
19	simple	7	5	1	0.5	5.5	True	False	three three three three three three three	104.5	110.0
20	simple	7	5	1	0.5	5.5	True	False	neh neh neh neh neh neh neh	110.0	115.5
21	simple	7	5	1	0.5	5.5	True	False	pi pi pi pi pi pi pi	115.5	121.0
22	simple	7	5	1	0.5	5.5	True	False	ti ti ti ti ti ti ti	121.0	126.5
23	simple	7	5	1	0.5	5.5	True	False	pot pot pot pot pot pot pot	126.5	132.0
24	simple	7	5	1	0.5	5.5	True	False	how how how how how how how	132.0	137.5
25	simple	7	5	1	0.5	5.5	True	False	juh juh juh juh juh juh juh	137.5	143.0
26	simple	7	5	1	0.5	5.5	True	False	ver ver ver ver ver ver ver	143.0	148.5
27	simple	7	5	1	0.5	5.5	True	False	thurs thurs thurs thurs thurs thurs thurs	148.5	154.0
28	simple	7	5	1	0.5	5.5	True	False	chuck chuck chuck chuck chuck chuck chuck	154.0	159.5
29	simple	7	5	1	0.5	5.5	True	False	mih mih mih mih mih mih mih	159.5	165.0
30	simple	7	5	1	0.5	5.5	True	False	thir thir thir thir thir thir thir	165.0	170.5
31	simple	7	5	1	0.5	5.5	True	False	ser ser ser ser ser ser ser	170.5	176.0
32	simple	7	5	1	0.5	5.5	True	False	would would would would would would would	176.0	181.5
33	simple	7	5	1	0.5	5.5	True	False	jur jur jur jur jur jur jur	181.5	187.0
34	simple	7	5	1	0.5	5.5	True	False	imah imah imah imah imah imah imah	187.0	192.5
35	simple	7	5	1	0.5	5.5	True	False	day day day day day day day	192.5	198.0
36	simple	7	5	1	0.5	5.5	True	False	thrilled thrilled thrilled thrilled thrilled thrilled thrilled	198.0	203.5
37	simple	7	5	1	0.5	5.5	True	False	ter ter ter ter ter ter ter	203.5	209.0
38	simple	7	5	1	0.5	5.5	True	False	thieves thieves thieves thieves thieves thieves thieves	209.0	214.5
39	simple	7	5	1	0.5	5.5	True	False	picked picked picked picked picked picked picked	214.5	220.0
40	simple	7	5	1	0.5	5.5	True	False	ther ther ther ther ther ther ther	220.0	225.5
